cpf,Nome,Unidade
11122233344,Marcelo,CENTRO MUNICIPAL DE EDUCAÇÃO JURANDIR DA SILVA MELO
11122233345,Maria,CENTRO MUNICIPAL DE EDUCAÇÃO MENALDO CARLOS DE MAGALHÃES
11122233346,Carine,CENTRO MUNICIPAL DE EDUCAÇÃO PADRE MANUEL
11122233347,Antonia,COLÉGIO MUNICIPAL GUSTAVO CAMPOS DA SILVEIRA
11122233348,Iona,ESCOLA MUNICIPAL EDILSON VIGNOLI MARINS
11122233349,Matheus,ESCOLA MUNICIPAL ISMÊNIA DE BARROS BARROSO
11122233350,Icaro,ESCOLA MUNICIPAL JARDIM IPITANGAS
11122233351,Bruno,ESCOLA MUNICIPAL JOSÉ BANDEIRA
11122233352,Thais,ESCOLA MUNICIPAL LUCIANA SANTANA COUTINHO
11122233353,Mariana,ESCOLA MUNICIPAL ORGÉ FERREIRA DOS SANTOS
11122233354,Amauri,ESCOLA MUNICIPAL VILATUR
11122233355,Claudio,ESCOLA MUNICIPALIZADA ELCIRA DE OLIVEIRA COUTINHO
11122233356,Luiz,ESCOLA MUNICIPALIZADA PAULO LUIZ BARROSO OLIVEIRA
11122233357,Gustavo,ESCOLA MUNICIPALIZADA VEREADOR IVAN DA SILVA MELO
